"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"5322","NL",1924,"hubbebi01",537,1.96,9326000,13.72,34363.1723798764
"5323","NL",2016,"youngma03",21,-0.09,89276000,-0.63,34355.9517343478
"5324","NL",2014,"fornaer01",29,-0.08,84914000,-0.56,34354.5643585526
"5325","AL",2019,"sneedcy01",64,-0.04,95819000,-0.28,34347.3752663925
"5326","AL",2018,"pelhacd01",23,-0.08,93638000,-0.56,34343.7694826489
"5327","AL",2005,"sandeda01",6,-0.09,70125000,-0.63,34329.1911986661
"5328","AL",1994,"phoenst01",13,-0.01,50032000,-0.07,34327.8402530283
"5329","NL",2015,"jaimeju01",4,-0.04,87095000,-0.28,34324.6522829895
"5330","NL",1983,"ghelfto01",43,0.33,37663000,2.31,34316.3315699056
"5331","NL",1993,"brummgr01",218,0.22,47694000,1.54,34315.7537057638
"5332","AL",1973,"fifeda01",155,0.38,29181000,2.66,34310.0705151034
"5333","NL",1984,"rileyge01",88,0.33,38094000,2.31,34294.7219019911
"5334","AL",1940,"rossbu02",469,1.47,11130000,10.29,34286.4708787601
"5335","AL",1981,"rothsla01",17,0.18,36801000,1.26,34285.6157912217
